Date,Open,High,Low,Close,Volume,OpenInterest
2006-06-02,1828.22,1844.44,1811.48,1818.44,10679550,0.00
2006-06-05,1818.42,1819.30,1796.36,1802.16,6816870,0.00
2006-06-06,1799.29,1799.29,1759.93,1764.55,13110070,0.00
2006-06-07,1768.20,1787.84,1756.12,1781.18,12076920,0.00
2006-06-08,1778.44,1778.44,1731.18,1731.18,18618490,0.00
2006-06-09,1735.14,1765.85,1735.14,1760.50,10558920,0.00
2006-06-12,1759.72,1764.14,1738.53,1740.38,12629950,0.00
2006-06-13,1738.16,1738.16,1696.38,1704.01,24814350,0.00
2006-06-14,1705.40,1716.86,1689.83,1707.10,22901700,0.00
2006-06-15,1711.62,1748.32,1711.62,1746.62,15990240,0.00
2006-06-16,1754.20,1772.14,1729.78,1731.78,15146360,0.00
2006-06-19,1734.94,1760.26,1734.94,1745.12,8572670,0.00
2006-06-20,1737.30,1757.42,1726.57,1757.42,8479710,0.00
2006-06-21,1759.93,1763.43,1738.11,1763.42,9412950,0.00
2006-06-22,1771.32,1785.62,1761.86,1772.42,8935270,0.00
2006-06-23,1772.80,1782.03,1765.00,1775.08,6445640,0.00
2006-06-26,1777.04,1783.28,1764.30,1767.42,5308620,0.00
2006-06-27,1770.24,1777.97,1750.36,1753.46,7549380,0.00
2006-06-28,1751.65,1763.04,1742.36,1753.04,7390950,0.00
2006-06-29,1759.77,1791.95,1759.77,1791.30,8587990,0.00
2006-06-30,1796.00,1827.51,1796.00,1824.46,9143210,0.00
2006-07-03,1824.46,1831.46,1819.54,1831.46,3385250,0.00
2006-07-04,1832.30,1835.38,1823.02,1835.38,2190590,0.00
2006-07-05,1828.36,1828.36,1803.90,1809.32,6679190,0.00
2006-07-06,1812.01,1832.77,1812.01,1831.20,6697660,0.00
2006-07-07,1828.50,1835.22,1813.51,1825.66,7305380,0.00
2006-07-10,1822.71,1835.54,1810.67,1833.26,5536610,0.00
2006-07-11,1828.28,1828.32,1804.52,1808.89,7380940,0.00
2006-07-12,1816.01,1831.42,1811.13,1815.25,7287070,0.00
2006-07-13,1808.78,1808.78,1776.26,1781.28,11378760,0.00
2006-07-14,1772.96,1776.02,1754.12,1754.12,9407040,0.00
2006-07-17,1756.11,1759.17,1731.38,1749.31,11832320,0.00
2006-07-18,1745.90,1758.16,1737.99,1746.06,9710380,0.00
2006-07-19,1748.74,1792.82,1748.74,1792.82,12477430,0.00
2006-07-20,1796.94,1806.24,1790.43,1794.82,9133240,0.00
2006-07-21,1790.26,1795.34,1773.12,1778.54,9777460,0.00
2006-07-24,1779.67,1816.75,1779.67,1816.46,7819840,0.00
2006-07-25,1819.82,1825.87,1810.86,1815.75,7586000,0.00
2006-07-26,1817.58,1823.51,1812.54,1820.38,5385830,0.00
2006-07-27,1824.64,1840.78,1824.64,1840.78,7980360,0.00
2006-07-28,1835.86,1855.70,1829.84,1855.30,7918960,0.00
2006-07-31,1854.41,1855.76,1844.11,1845.94,5258980,0.00
2006-08-01,1843.91,1848.26,1816.26,1820.30,7628400,0.00
2006-08-02,1827.96,1848.38,1827.96,1848.18,6318790,0.00
2006-08-03,1847.93,1851.69,1823.98,1833.96,8381380,0.00
2006-08-04,1838.72,1864.64,1838.72,1859.04,7965680,0.00
2006-08-07,1853.74,1853.74,1827.04,1829.52,6537520,0.00
2006-08-08,1836.11,1842.39,1827.26,1834.05,6254190,0.00
2006-08-09,1837.02,1856.11,1825.64,1853.60,8625940,0.00
2006-08-10,1843.32,1843.32,1819.28,1837.72,9656250,0.00
2006-08-11,1841.43,1849.12,1829.55,1837.55,5245720,0.00
2006-08-14,1845.04,1860.20,1845.04,1859.56,4572610,0.00
2006-08-15,1856.24,1886.94,1853.44,1883.19,8092510,0.00
2006-08-16,1883.93,1899.32,1882.72,1895.47,7464200,0.00
2006-08-17,1896.00,1900.50,1889.66,1900.05,5896340,0.00
2006-08-18,1899.16,1903.74,1891.00,1895.70,6595850,0.00
2006-08-21,1895.00,1895.29,1882.69,1888.62,4434450,0.00
2006-08-22,1894.28,1898.76,1877.19,1896.28,6867230,0.00
2006-08-23,1896.74,1896.74,1876.52,1879.49,5474300,0.00
2006-08-24,1880.93,1898.42,1871.63,1890.94,6974010,0.00
2006-08-25,1892.00,1898.96,1883.10,1890.58,3920380,0.00
2006-08-28,1889.40,1905.92,1879.44,1904.28,4029730,0.00
2006-08-29,1905.09,1914.70,1900.02,1903.40,6225920,0.00
2006-08-30,1907.94,1914.70,1904.51,1908.93,5574080,0.00
2006-08-31,1911.85,1914.03,1901.20,1904.35,5779830,0.00
2006-09-01,1904.50,1918.11,1904.50,1910.44,5505190,0.00
2006-09-04,1912.01,1919.65,1912.01,1918.80,1920590,0.00
2006-09-05,1917.91,1917.91,1900.57,1908.88,7260650,0.00
2006-09-06,1909.06,1909.18,1882.86,1886.10,8293940,0.00
2006-09-07,1883.40,1883.40,1864.88,1869.85,8804850,0.00
2006-09-08,1873.00,1881.04,1868.16,1875.04,6061240,0.00
2006-09-11,1872.89,1872.89,1854.90,1871.03,10248540,0.00
2006-09-12,1872.46,1896.36,1864.68,1894.48,16157620,0.00
2006-09-13,1899.93,1905.04,1893.56,1902.78,13732030,0.00
2006-09-14,1904.54,1912.38,1893.35,1898.32,10493530,0.00
2006-09-15,1900.50,1912.58,1894.59,1906.06,10621490,0.00
2006-09-18,1906.86,1911.96,1895.42,1904.24,5562280,0.00
2006-09-19,1903.84,1905.62,1885.18,1890.09,9970350,0.00
2006-09-20,1891.08,1921.63,1887.74,1920.66,8508170,0.00
2006-09-21,1920.10,1933.87,1915.62,1928.57,8357540,0.00
2006-09-22,1919.76,1919.82,1900.32,1906.36,7264560,0.00
2006-09-25,1907.56,1921.34,1901.24,1911.06,7196810,0.00
2006-09-26,1919.00,1938.90,1919.00,1936.46,7795190,0.00
2006-09-27,1938.78,1949.52,1935.56,1948.09,8797520,0.00
2006-09-28,1946.93,1953.70,1942.66,1947.49,5846480,0.00
2006-09-29,1949.04,1960.58,1947.44,1949.70,6515600,0.00
2006-10-02,1951.02,1958.70,1937.88,1946.24,5180410,0.00
2006-10-03,1943.04,1943.04,1929.44,1940.07,7623430,0.00
2006-10-04,1942.20,1957.36,1941.69,1957.36,8005050,0.00
2006-10-05,1960.58,1974.74,1960.58,1969.93,7237300,0.00
2006-10-06,1969.64,1975.03,1959.94,1970.16,6595520,0.00
2006-10-09,1966.16,1971.08,1960.90,1969.74,3548470,0.00
2006-10-10,1973.28,1981.60,1971.68,1980.34,6492930,0.00
2006-10-11,1978.08,1984.86,1969.89,1983.70,6987690,0.00
2006-10-12,1983.20,2000.24,1982.22,1999.96,7046300,0.00
2006-10-13,2001.14,2004.34,1993.20,1999.54,6272410,0.00
2006-10-16,2000.15,2003.69,1993.76,2000.98,5346060,0.00
2006-10-17,1996.52,1996.66,1973.70,1974.78,9152110,0.00
2006-10-18,1979.14,2003.58,1979.14,1995.69,9612020,0.00
2006-10-19,1993.15,2000.38,1983.99,1993.41,7714900,0.00
2006-10-20,1995.93,2008.32,1990.59,1999.10,8282990,0.00
2006-10-23,2000.82,2012.38,1991.01,2009.51,7096590,0.00
2006-10-24,2009.10,2011.44,2001.98,2007.00,5756760,0.00
2006-10-25,2005.59,2012.78,2002.43,2009.57,5449410,0.00
2006-10-26,2013.24,2023.77,2009.99,2013.64,6384950,0.00
2006-10-27,2014.54,2019.88,1999.22,2008.64,7902020,0.00
